Time,Charge of the electric vehicle (PV System) 
,kWh
16.02. 22:00,8.4234
16.02. 23:00,7.8653
17.02. 00:00,7.6209
17.02. 01:00,7.5698
17.02. 02:00,7.5619
17.02. 03:00,7.5553
17.02. 04:00,7.5528
17.02. 05:00,7.552
17.02. 06:00,7.5517
17.02. 07:00,7.5516
17.02. 08:00,16.1071
17.02. 09:00,73.403
17.02. 10:00,73.404
17.02. 11:00,73.406
17.02. 12:00,40.664
17.02. 13:00,7.6279
17.02. 14:00,0
17.02. 15:00,0
17.02. 16:00,0
17.02. 17:00,0
17.02. 18:00,0
17.02. 19:00,0
17.02. 20:00,0
17.02. 21:00,0
17.02. 22:00,0
17.02. 23:00,0
18.02. 00:00,0
18.02. 01:00,0
18.02. 02:00,0
18.02. 03:00,0
18.02. 04:00,0
18.02. 05:00,0
18.02. 06:00,0
18.02. 07:00,0
18.02. 08:00,0
18.02. 09:00,0
18.02. 10:00,0
18.02. 11:00,0
18.02. 12:00,0
18.02. 13:00,0
18.02. 14:00,0
18.02. 15:00,0
18.02. 16:00,0
18.02. 17:00,0
18.02. 18:00,0
18.02. 19:00,0
18.02. 20:00,0
18.02. 21:00,0
18.02. 22:00,0
18.02. 23:00,0
19.02. 00:00,0
19.02. 01:00,0
19.02. 02:00,0
19.02. 03:00,0
19.02. 04:00,0
19.02. 05:00,0
19.02. 06:00,0
19.02. 07:00,0
19.02. 08:00,31.443
19.02. 09:00,73.738
19.02. 10:00,33.011
19.02. 11:00,10.236
19.02. 12:00,0
19.02. 13:00,0
19.02. 14:00,0
19.02. 15:00,0
19.02. 16:00,0
19.02. 17:00,0
19.02. 18:00,0
19.02. 19:00,73.348
19.02. 20:00,73.402
19.02. 21:00,47.081
19.02. 22:00,12.22
19.02. 23:00,8.8492
20.02. 00:00,7.8381
20.02. 01:00,7.5832
20.02. 02:00,7.5585
20.02. 03:00,7.5514
20.02. 04:00,7.5509
20.02. 05:00,7.5506
20.02. 06:00,7.5504
20.02. 07:00,24.266
20.02. 08:00,38.005
20.02. 09:00,55.005
20.02. 10:00,55.011
20.02. 11:00,32.237
20.02. 12:00,22.002
20.02. 13:00,22.003
20.02. 14:00,0
20.02. 15:00,0
20.02. 16:00,0
20.02. 17:00,0
20.02. 18:00,11.525
20.02. 19:00,73.375
20.02. 20:00,73.364
20.02. 21:00,37.616
20.02. 22:00,9.5654
20.02. 23:00,7.768
21.02. 00:00,7.6161
21.02. 01:00,7.5686
21.02. 02:00,7.5607
21.02. 03:00,7.554
21.02. 04:00,7.553
21.02. 05:00,7.5522
21.02. 06:00,7.5519
21.02. 07:00,73.403
21.02. 08:00,28.42
21.02. 09:00,77.009
21.02. 10:00,64.795
21.02. 11:00,10.236
21.02. 12:00,0
21.02. 13:00,0
21.02. 14:00,0
21.02. 15:00,0
21.02. 16:00,0
21.02. 17:00,0
21.02. 18:00,52.704
21.02. 19:00,73.381
21.02. 20:00,72.832
21.02. 21:00,6.9832
21.02. 22:00,7.58
21.02. 23:00,7.5798
22.02. 00:00,7.5796
22.02. 01:00,7.5794
22.02. 02:00,7.5792
22.02. 03:00,7.579
22.02. 04:00,7.5788
22.02. 05:00,25.292
22.02. 06:00,73.402
22.02. 07:00,73.403
22.02. 08:00,27.35
22.02. 09:00,99.011
22.02. 10:00,55.011
22.02. 11:00,32.237
22.02. 12:00,22.002
22.02. 13:00,22.003
22.02. 14:00,0
22.02. 15:00,0
22.02. 16:00,0
22.02. 17:00,0
22.02. 18:00,52.702
22.02. 19:00,73.371
22.02. 20:00,73.358
22.02. 21:00,7.5755
22.02. 22:00,7.5783
22.02. 23:00,7.5571
23.02. 00:00,7.5543
23.02. 01:00,7.5535
23.02. 02:00,7.5527
23.02. 03:00,7.5524
23.02. 04:00,7.5522
23.02. 05:00,7.5521
23.02. 06:00,25.953
23.02. 07:00,73.403
23.02. 08:00,26.233
23.02. 09:00,77.01
23.02. 10:00,33.011
23.02. 11:00,10.236
23.02. 12:00,0
23.02. 13:00,0
23.02. 14:00,0
23.02. 15:00,0
23.02. 16:00,0
23.02. 17:00,0
23.02. 18:00,52.704
23.02. 19:00,73.381
23.02. 20:00,73.354
23.02. 21:00,11.35
23.02. 22:00,8.4487
23.02. 23:00,7.8894
24.02. 00:00,7.6444
24.02. 01:00,7.5932
24.02. 02:00,7.5742
24.02. 03:00,7.5563
24.02. 04:00,7.5535
24.02. 05:00,7.5527
24.02. 06:00,7.5524
24.02. 07:00,7.5523
24.02. 08:00,63.49218
24.02. 09:00,73.403
24.02. 10:00,73.405
24.02. 11:00,73.407
24.02. 12:00,37.839
24.02. 13:00,0
24.02. 14:00,0
24.02. 15:00,0
24.02. 16:00,0
24.02. 17:00,0
24.02. 18:00,0
24.02. 19:00,0
24.02. 20:00,0
24.02. 21:00,0
24.02. 22:00,0
24.02. 23:00,0
25.02. 00:00,0
25.02. 01:00,0
25.02. 02:00,0
25.02. 03:00,0
25.02. 04:00,0
25.02. 05:00,0
25.02. 06:00,0
25.02. 07:00,0
25.02. 08:00,0
25.02. 09:00,0
25.02. 10:00,0
25.02. 11:00,0
25.02. 12:00,0
25.02. 13:00,0
25.02. 14:00,0
25.02. 15:00,0
25.02. 16:00,0
25.02. 17:00,0
25.02. 18:00,0
25.02. 19:00,0
25.02. 20:00,0
25.02. 21:00,0
25.02. 22:00,0
25.02. 23:00,0
26.02. 00:00,0
26.02. 01:00,0
26.02. 02:00,0
26.02. 03:00,0
26.02. 04:00,0
26.02. 05:00,0
26.02. 06:00,0
26.02. 07:00,0
26.02. 08:00,34.326
26.02. 09:00,73.596
26.02. 10:00,33.011
26.02. 11:00,10.236
26.02. 12:00,0
26.02. 13:00,0
26.02. 14:00,0
26.02. 15:00,0
26.02. 16:00,0
26.02. 17:00,0
26.02. 18:00,0
26.02. 19:00,73.348
26.02. 20:00,73.402
26.02. 21:00,49.099
26.02. 22:00,12.779
26.02. 23:00,7.5843
27.02. 00:00,7.9928
27.02. 01:00,7.9926
27.02. 02:00,7.9923
27.02. 03:00,7.992
27.02. 04:00,7.9917
27.02. 05:00,7.9915
27.02. 06:00,7.9912
27.02. 07:00,16.931
27.02. 08:00,33.414
27.02. 09:00,55.005
27.02. 10:00,55.011
27.02. 11:00,32.237
27.02. 12:00,8.2801
27.02. 13:00,22.002
27.02. 14:00,0
27.02. 15:00,0
27.02. 16:00,0
27.02. 17:00,0
27.02. 18:00,11.525
27.02. 19:00,73.375
27.02. 20:00,73.365
27.02. 21:00,37.63
27.02. 22:00,9.5692
27.02. 23:00,7.7714
28.02. 00:00,7.6195
28.02. 01:00,7.5719
28.02. 02:00,7.553
28.02. 03:00,7.5522
28.02. 04:00,8.0642
28.02. 05:00,8.064
28.02. 06:00,8.0637
28.02. 07:00,73.403
28.02. 08:00,44.003
28.02. 09:00,77.01
28.02. 10:00,53.097
28.02. 11:00,10.236
28.02. 12:00,0
28.02. 13:00,0
28.02. 14:00,0
28.02. 15:00,0
28.02. 16:00,0
28.02. 17:00,0
28.02. 18:00,52.705
28.02. 19:00,73.381
28.02. 20:00,73.354
28.02. 21:00,7.5503
28.02. 22:00,7.5522
28.02. 23:00,8.061
01.03. 00:00,8.0608
01.03. 01:00,8.0605
01.03. 02:00,8.0603
01.03. 03:00,8.0601
01.03. 04:00,8.0598
01.03. 05:00,25.716
01.03. 06:00,73.402
01.03. 07:00,73.4033
01.03. 08:00,16.56
01.03. 09:00,98.995
01.03. 10:00,55.011
01.03. 11:00,32.237
01.03. 12:00,22.001
01.03. 13:00,22.002
01.03. 14:00,0
01.03. 15:00,0
01.03. 16:00,0
01.03. 17:00,0
01.03. 18:00,52.702
01.03. 19:00,73.37
01.03. 20:00,73.357
01.03. 21:00,7.3951
01.03. 22:00,8.0085
01.03. 23:00,8.0083
02.03. 00:00,8.0081
02.03. 01:00,8.0078
02.03. 02:00,8.0076
02.03. 03:00,8.0073
02.03. 04:00,8.0071
02.03. 05:00,8.0068
02.03. 06:00,26.407
02.03. 07:00,73.403
02.03. 08:00,0
02.03. 09:00,33.005
02.03. 10:00,33.011
02.03. 11:00,10.236
02.03. 12:00,0
02.03. 13:00,0
02.03. 14:00,0
02.03. 15:00,0
02.03. 16:00,0
02.03. 17:00,0
02.03. 18:00,52.704
02.03. 19:00,73.379
02.03. 20:00,73.351
02.03. 21:00,9.7285
02.03. 22:00,8.1897
02.03. 23:00,7.6685
03.03. 00:00,7.5499
03.03. 01:00,8.0587
03.03. 02:00,8.0585
03.03. 03:00,8.0582
03.03. 04:00,8.058
03.03. 05:00,8.0577
03.03. 06:00,8.0575
03.03. 07:00,30.053
03.03. 08:00,73.402
03.03. 09:00,73.404
03.03. 10:00,73.406
03.03. 11:00,18.402
03.03. 12:00,0
03.03. 13:00,0
03.03. 14:00,0
03.03. 15:00,0
03.03. 16:00,0
03.03. 17:00,0
03.03. 18:00,0
03.03. 19:00,0
03.03. 20:00,0
03.03. 21:00,0
03.03. 22:00,0
03.03. 23:00,0
04.03. 00:00,0
04.03. 01:00,0
04.03. 02:00,0
04.03. 03:00,0
04.03. 04:00,0
04.03. 05:00,0
04.03. 06:00,0
04.03. 07:00,0
04.03. 08:00,0
04.03. 09:00,0
04.03. 10:00,0
04.03. 11:00,0
04.03. 12:00,0
04.03. 13:00,0
04.03. 14:00,0
04.03. 15:00,0
04.03. 16:00,0
04.03. 17:00,0
04.03. 18:00,0
04.03. 19:00,0
04.03. 20:00,0
04.03. 21:00,0
04.03. 22:00,0
04.03. 23:00,0
05.03. 00:00,0
05.03. 01:00,0
05.03. 02:00,0
05.03. 03:00,0
05.03. 04:00,0
05.03. 05:00,0
05.03. 06:00,0
05.03. 07:00,16.547
05.03. 08:00,44.003
05.03. 09:00,77.009
05.03. 10:00,77.016
05.03. 11:00,10.236
05.03. 12:00,0
05.03. 13:00,0
05.03. 14:00,0
05.03. 15:00,0
05.03. 16:00,0
05.03. 17:00,0
05.03. 18:00,0
05.03. 19:00,73.351
05.03. 20:00,73.401
05.03. 21:00,49.032
05.03. 22:00,12.762
05.03. 23:00,7.5718
06.03. 00:00,7.9805
06.03. 01:00,7.9802
06.03. 02:00,7.9799
06.03. 03:00,7.9797
06.03. 04:00,7.9794
06.03. 05:00,7.9791
06.03. 06:00,7.9789
06.03. 07:00,52.023
06.03. 08:00,0
06.03. 09:00,54.989
06.03. 10:00,55.011
06.03. 11:00,32.237
06.03. 12:00,22.001
06.03. 13:00,22.002
06.03. 14:00,0
06.03. 15:00,0
06.03. 16:00,0
06.03. 17:00,0
06.03. 18:00,45.976
06.03. 19:00,73.368
06.03. 20:00,73.353
06.03. 21:00,66.447
06.03. 22:00,0
06.03. 23:00,0
07.03. 00:00,0
07.03. 01:00,0
07.03. 02:00,0
07.03. 03:00,0
07.03. 04:00,0
07.03. 05:00,0
07.03. 06:00,0
07.03. 07:00,73.403
07.03. 08:00,44.002
07.03. 09:00,77.009
07.03. 10:00,77.016
07.03. 11:00,10.236
07.03. 12:00,0
07.03. 13:00,0
07.03. 14:00,0
07.03. 15:00,0
07.03. 16:00,0
07.03. 17:00,0
07.03. 18:00,52.705
07.03. 19:00,73.382
07.03. 20:00,73.356
07.03. 21:00,7.4841
07.03. 22:00,7.571
07.03. 23:00,7.5527
08.03. 00:00,8.0641
08.03. 01:00,8.0639
08.03. 02:00,8.0636
08.03. 03:00,8.0634
08.03. 04:00,8.0632
08.03. 05:00,8.0629
08.03. 06:00,73.402
08.03. 07:00,73.4031
08.03. 08:00,0
08.03. 09:00,54.988
08.03. 10:00,55.011
08.03. 11:00,32.237
08.03. 12:00,22.001
08.03. 13:00,10.113
08.03. 14:00,22.003
08.03. 15:00,0
08.03. 16:00,0
08.03. 17:00,0
08.03. 18:00,52.704
08.03. 19:00,73.378
08.03. 20:00,73.349
08.03. 21:00,7.5646
08.03. 22:00,7.5671
08.03. 23:00,7.5571
09.03. 00:00,7.5547
09.03. 01:00,7.5539
09.03. 02:00,7.5531
09.03. 03:00,7.5528
09.03. 04:00,7.5525
09.03. 05:00,24.758
09.03. 06:00,71.419
09.03. 07:00,73.403
09.03. 08:00,44.002
09.03. 09:00,77.008
09.03. 10:00,77.016
09.03. 11:00,10.236
09.03. 12:00,0
09.03. 13:00,0
09.03. 14:00,0
09.03. 15:00,0
09.03. 16:00,0
09.03. 17:00,0
09.03. 18:00,52.701
09.03. 19:00,73.369
09.03. 20:00,73.355
09.03. 21:00,11.285
09.03. 22:00,8.3971
09.03. 23:00,7.8403
10.03. 00:00,7.5966
10.03. 01:00,7.5719
10.03. 02:00,7.5539
10.03. 03:00,7.5526
10.03. 04:00,7.5524
10.03. 05:00,7.5523
10.03. 06:00,7.5522
10.03. 07:00,63.87353
10.03. 08:00,73.404
10.03. 09:00,73.405
10.03. 10:00,18.402
10.03. 11:00,7.2292
10.03. 12:00,0
10.03. 13:00,0
10.03. 14:00,0
10.03. 15:00,0
10.03. 16:00,0
10.03. 17:00,0
10.03. 18:00,0
10.03. 19:00,0
10.03. 20:00,0
10.03. 21:00,0
10.03. 22:00,0
10.03. 23:00,0
11.03. 00:00,0
11.03. 01:00,0
11.03. 02:00,0
11.03. 03:00,0
11.03. 04:00,0
11.03. 05:00,0
11.03. 06:00,0
11.03. 07:00,0
11.03. 08:00,0
11.03. 09:00,0
11.03. 10:00,0
11.03. 11:00,0
11.03. 12:00,0
11.03. 13:00,0
11.03. 14:00,0
11.03. 15:00,0
11.03. 16:00,0
11.03. 17:00,0
11.03. 18:00,0
11.03. 19:00,0
11.03. 20:00,0
11.03. 21:00,0
11.03. 22:00,0
11.03. 23:00,0
12.03. 00:00,0
12.03. 01:00,0
12.03. 02:00,0
12.03. 03:00,0
12.03. 04:00,0
12.03. 05:00,0
12.03. 06:00,0
12.03. 07:00,0
12.03. 08:00,0
12.03. 09:00,33.005
12.03. 10:00,33.011
12.03. 11:00,10.236
12.03. 12:00,0
12.03. 13:00,0
12.03. 14:00,0
12.03. 15:00,0
12.03. 16:00,0
12.03. 17:00,0
12.03. 18:00,0
12.03. 19:00,73.369
12.03. 20:00,73.401
12.03. 21:00,48.981
12.03. 22:00,12.749
12.03. 23:00,7.5625
13.03. 00:00,7.971
13.03. 01:00,7.9708
13.03. 02:00,7.9705
13.03. 03:00,7.9703
13.03. 04:00,7.97
13.03. 05:00,7.9697
13.03. 06:00,7.9695
13.03. 07:00,52.108
13.03. 08:00,28.534
13.03. 09:00,99.008
13.03. 10:00,99.015
13.03. 11:00,32.237
13.03. 12:00,22.002
13.03. 13:00,22.003
13.03. 14:00,0
13.03. 15:00,0
13.03. 16:00,0
13.03. 17:00,0
13.03. 18:00,45.976
13.03. 19:00,73.367
13.03. 20:00,73.353
13.03. 21:00,66.471
13.03. 22:00,0
13.03. 23:00,0
14.03. 00:00,0
14.03. 01:00,0
14.03. 02:00,0
14.03. 03:00,0
14.03. 04:00,0
14.03. 05:00,0
14.03. 06:00,0
14.03. 07:00,73.4026
14.03. 08:00,0
14.03. 09:00,27.977
14.03. 10:00,77.013
14.03. 11:00,44.005
14.03. 12:00,18.66
14.03. 13:00,0
14.03. 14:00,0
14.03. 15:00,0
14.03. 16:00,0
14.03. 17:00,0
14.03. 18:00,52.705
14.03. 19:00,73.382
14.03. 20:00,70.395
14.03. 21:00,0
14.03. 22:00,7.3296
14.03. 23:00,7.3294
15.03. 00:00,7.3293
15.03. 01:00,7.3291
15.03. 02:00,7.3289
15.03. 03:00,7.3287
15.03. 04:00,7.3285
15.03. 05:00,7.3283
15.03. 06:00,73.402
15.03. 07:00,73.4027
15.03. 08:00,0
15.03. 09:00,55.004
15.03. 10:00,55.009
15.03. 11:00,45.561
15.03. 12:00,22.002
15.03. 13:00,22.003
15.03. 14:00,0
15.03. 15:00,0
15.03. 16:00,0
15.03. 17:00,0
15.03. 18:00,52.705
15.03. 19:00,73.381
15.03. 20:00,73.354
15.03. 21:00,7.5748
15.03. 22:00,7.5778
15.03. 23:00,7.5566
16.03. 00:00,7.5538
16.03. 01:00,7.553
16.03. 02:00,7.5529
16.03. 03:00,7.5528
16.03. 04:00,7.5528
16.03. 05:00,24.738
16.03. 06:00,73.1176
16.03. 07:00,89.949
16.03. 08:00,44.003
16.03. 09:00,77.009
16.03. 10:00,33.011
16.03. 11:00,10.236
16.03. 12:00,0
16.03. 13:00,0
16.03. 14:00,0
16.03. 15:00,0
16.03. 16:00,0
16.03. 17:00,0
16.03. 18:00,52.702
16.03. 19:00,73.371
16.03. 20:00,73.359
16.03. 21:00,11.23
16.03. 22:00,8.3528
16.03. 23:00,7.7982
17.03. 00:00,7.5555
17.03. 01:00,8.0601
17.03. 02:00,8.0598
17.03. 03:00,8.0596
17.03. 04:00,8.0593
17.03. 05:00,8.0591
17.03. 06:00,8.0588
17.03. 07:00,6.8987
17.03. 08:00,73.403
17.03. 09:00,73.404
17.03. 10:00,73.406
17.03. 11:00,63.796
17.03. 12:00,0
17.03. 13:00,0
17.03. 14:00,0
17.03. 15:00,0
17.03. 16:00,0
17.03. 17:00,0
17.03. 18:00,0
17.03. 19:00,0
17.03. 20:00,0
17.03. 21:00,0
17.03. 22:00,0
17.03. 23:00,0
18.03. 00:00,0
18.03. 01:00,0
18.03. 02:00,0
18.03. 03:00,0
18.03. 04:00,0
18.03. 05:00,0
18.03. 06:00,0
18.03. 07:00,0
18.03. 08:00,0
18.03. 09:00,0
18.03. 10:00,0
18.03. 11:00,0
18.03. 12:00,0
18.03. 13:00,0
18.03. 14:00,0
18.03. 15:00,0
18.03. 16:00,0
18.03. 17:00,0
18.03. 18:00,0
18.03. 19:00,0
18.03. 20:00,0
18.03. 21:00,0
18.03. 22:00,0
18.03. 23:00,0
19.03. 00:00,0
19.03. 01:00,0
19.03. 02:00,0
19.03. 03:00,0
19.03. 04:00,0
19.03. 05:00,0
19.03. 06:00,0
19.03. 07:00,0
19.03. 08:00,0
19.03. 09:00,33.005
19.03. 10:00,77.014
19.03. 11:00,54.241
19.03. 12:00,17.315
19.03. 13:00,0
19.03. 14:00,0
19.03. 15:00,0
19.03. 16:00,0
19.03. 17:00,0
19.03. 18:00,0
19.03. 19:00,73.332
19.03. 20:00,73.402
19.03. 21:00,49.328
19.03. 22:00,12.843
19.03. 23:00,7.6286
20.03. 00:00,8.0363
20.03. 01:00,8.036
20.03. 02:00,8.0357
20.03. 03:00,8.0355
20.03. 04:00,8.0352
20.03. 05:00,8.0349
20.03. 06:00,8.0347
20.03. 07:00,48.889
20.03. 08:00,0
20.03. 09:00,54.983
20.03. 10:00,55.011
20.03. 11:00,32.237
20.03. 12:00,22.002
20.03. 13:00,22.003
20.03. 14:00,0
20.03. 15:00,0
20.03. 16:00,0
20.03. 17:00,0
20.03. 18:00,11.52546
20.03. 19:00,73.368
20.03. 20:00,73.353
20.03. 21:00,38.613
20.03. 22:00,9.8544
20.03. 23:00,8.0234
21.03. 00:00,7.7434
21.03. 01:00,7.6349
21.03. 02:00,7.5889
21.03. 03:00,7.5706
21.03. 04:00,7.5532
21.03. 05:00,7.5523
21.03. 06:00,24.87439
21.03. 07:00,94.816
21.03. 08:00,44.003
21.03. 09:00,75.3824
21.03. 10:00,65.244
21.03. 11:00,10.236
21.03. 12:00,0
21.03. 13:00,0
21.03. 14:00,0
21.03. 15:00,0
21.03. 16:00,0
21.03. 17:00,0
21.03. 18:00,52.7018
21.03. 19:00,73.369
21.03. 20:00,73.356
21.03. 21:00,67.309
21.03. 22:00,0
21.03. 23:00,0
22.03. 00:00,0
22.03. 01:00,0
22.03. 02:00,0
22.03. 03:00,0
22.03. 04:00,0
22.03. 05:00,0
22.03. 06:00,51.5357
22.03. 07:00,73.403
22.03. 08:00,0
22.03. 09:00,54.984
22.03. 10:00,55.011
22.03. 11:00,32.237
22.03. 12:00,22.002
22.03. 13:00,22.002
22.03. 14:00,8.2917
22.03. 15:00,0
22.03. 16:00,0
22.03. 17:00,0
22.03. 18:00,52.702
22.03. 19:00,73.37
22.03. 20:00,73.338
22.03. 21:00,9.2859
22.03. 22:00,7.8001
22.03. 23:00,7.6512
23.03. 00:00,7.6045
23.03. 01:00,7.5602
23.03. 02:00,7.5566
23.03. 03:00,7.5544
23.03. 04:00,7.5536
23.03. 05:00,7.5528
23.03. 06:00,25.95257
23.03. 07:00,95.12
23.03. 08:00,44.003
23.03. 09:00,77.009
23.03. 10:00,63.253
23.03. 11:00,10.236
23.03. 12:00,0
23.03. 13:00,0
23.03. 14:00,0
23.03. 15:00,0
23.03. 16:00,0
23.03. 17:00,0
23.03. 18:00,52.7042
23.03. 19:00,73.38
23.03. 20:00,73.352
23.03. 21:00,71.487
23.03. 22:00,0
23.03. 23:00,0
24.03. 00:00,0
24.03. 01:00,0
24.03. 02:00,0
24.03. 03:00,0
24.03. 04:00,0
24.03. 05:00,0
24.03. 06:00,7.8902
24.03. 07:00,73.402
24.03. 08:00,73.404
24.03. 09:00,73.405
24.03. 10:00,55.005
24.03. 11:00,23.542
24.03. 12:00,0
24.03. 13:00,0
24.03. 14:00,0
24.03. 15:00,0
24.03. 16:00,0
24.03. 17:00,0
24.03. 18:00,0
24.03. 19:00,0
24.03. 20:00,0
24.03. 21:00,0
24.03. 22:00,0
24.03. 23:00,0
25.03. 00:00,0
25.03. 01:00,0
25.03. 02:00,0
25.03. 03:00,0
25.03. 04:00,0
25.03. 05:00,0
25.03. 06:00,0
25.03. 07:00,0
25.03. 08:00,0
25.03. 09:00,0
25.03. 10:00,0
25.03. 11:00,0
25.03. 12:00,0
25.03. 13:00,0
25.03. 14:00,0
25.03. 15:00,0
25.03. 16:00,0
25.03. 17:00,0
25.03. 18:00,0
25.03. 19:00,0
25.03. 20:00,0
25.03. 21:00,0
25.03. 22:00,0
25.03. 23:00,0
26.03. 00:00,0
26.03. 01:00,0
26.03. 02:00,0
26.03. 03:00,0
26.03. 04:00,0
26.03. 05:00,0
26.03. 06:00,0
26.03. 07:00,0
26.03. 08:00,0
26.03. 09:00,33.005
26.03. 10:00,33.011
26.03. 11:00,10.236
26.03. 12:00,0
26.03. 13:00,0
26.03. 14:00,0
26.03. 15:00,0
26.03. 16:00,0
26.03. 17:00,0
26.03. 18:00,0
26.03. 19:00,73.336
26.03. 20:00,73.401
26.03. 21:00,55.032
26.03. 22:00,0
26.03. 23:00,0
27.03. 00:00,0
27.03. 01:00,0
27.03. 02:00,0
27.03. 03:00,0
27.03. 04:00,0
27.03. 05:00,0
27.03. 06:00,0
27.03. 07:00,68.123
27.03. 08:00,19.567
27.03. 09:00,99.008
27.03. 10:00,99.016
27.03. 11:00,64.815
27.03. 12:00,22.002
27.03. 13:00,22.003
27.03. 14:00,0
27.03. 15:00,0
27.03. 16:00,0
27.03. 17:00,0
27.03. 18:00,45.977
27.03. 19:00,73.371
27.03. 20:00,73.339
27.03. 21:00,73.401
27.03. 22:00,0
27.03. 23:00,0
28.03. 00:00,0
28.03. 01:00,0
28.03. 02:00,0
28.03. 03:00,0
28.03. 04:00,0
28.03. 05:00,0
28.03. 06:00,17.6499
28.03. 07:00,73.403
28.03. 08:00,0
28.03. 09:00,33.005
28.03. 10:00,33.011
28.03. 11:00,10.236
28.03. 12:00,0
28.03. 13:00,0
28.03. 14:00,0
28.03. 15:00,0
28.03. 16:00,0
28.03. 17:00,0
28.03. 18:00,52.7039
28.03. 19:00,73.379
28.03. 20:00,73.351
28.03. 21:00,67.069
28.03. 22:00,0
28.03. 23:00,0
29.03. 00:00,0
29.03. 01:00,0
29.03. 02:00,0
29.03. 03:00,0
29.03. 04:00,0
29.03. 05:00,0
29.03. 06:00,60.518
29.03. 07:00,117.41
29.03. 08:00,44.004
29.03. 09:00,99.011
29.03. 10:00,55.011
29.03. 11:00,32.237
29.03. 12:00,22.002
29.03. 13:00,22.003
29.03. 14:00,0
29.03. 15:00,0
29.03. 16:00,0
29.03. 17:00,0
29.03. 18:00,20.1117
29.03. 19:00,73.385
29.03. 20:00,73.361
29.03. 21:00,48.474
29.03. 22:00,12.805
29.03. 23:00,7.6935
30.03. 00:00,7.5737
30.03. 01:00,7.5561
30.03. 02:00,7.5534
30.03. 03:00,7.553
30.03. 04:00,7.553
30.03. 05:00,8.0644
30.03. 06:00,70.5489
30.03. 07:00,73.404
30.03. 08:00,0
30.03. 09:00,33.005
30.03. 10:00,33.011
30.03. 11:00,10.236
30.03. 12:00,0
30.03. 13:00,0
30.03. 14:00,0
30.03. 15:00,0
30.03. 16:00,0
30.03. 17:00,0
30.03. 18:00,20.1108
30.03. 19:00,73.379
30.03. 20:00,73.369
30.03. 21:00,48.146
30.03. 22:00,12.682
30.03. 23:00,7.5613
31.03. 00:00,7.9704
31.03. 01:00,7.9701
31.03. 02:00,7.9699
31.03. 03:00,7.9696
31.03. 04:00,7.9694
31.03. 05:00,7.9691
31.03. 06:00,6.89876
31.03. 07:00,62.91556
31.03. 08:00,73.404
31.03. 09:00,73.406
31.03. 10:00,0
31.03. 11:00,0
31.03. 12:00,0
31.03. 13:00,0
31.03. 14:00,0
31.03. 15:00,0
31.03. 16:00,0
31.03. 17:00,0
31.03. 18:00,0
31.03. 19:00,0
31.03. 20:00,0
31.03. 21:00,0
31.03. 22:00,0
31.03. 23:00,0
01.04. 00:00,0
01.04. 01:00,0
01.04. 02:00,0
01.04. 03:00,0
01.04. 04:00,0
01.04. 05:00,0
01.04. 06:00,0
01.04. 07:00,0
01.04. 08:00,0
01.04. 09:00,0
01.04. 10:00,0
01.04. 11:00,0
01.04. 12:00,0
01.04. 13:00,0
01.04. 14:00,0
01.04. 15:00,0
01.04. 16:00,0
01.04. 17:00,0
01.04. 18:00,0
01.04. 19:00,0
01.04. 20:00,0
01.04. 21:00,0
01.04. 22:00,0
01.04. 23:00,0
02.04. 00:00,0
02.04. 01:00,0
02.04. 02:00,0
02.04. 03:00,0
02.04. 04:00,0
02.04. 05:00,0
02.04. 06:00,0
02.04. 07:00,44.002
02.04. 08:00,44.004
02.04. 09:00,77.01
02.04. 10:00,33.011
02.04. 11:00,10.236
02.04. 12:00,0
02.04. 13:00,0
02.04. 14:00,0
02.04. 15:00,0
02.04. 16:00,0
02.04. 17:00,0
02.04. 18:00,0
02.04. 19:00,73.358
02.04. 20:00,73.401
02.04. 21:00,54.681
02.04. 22:00,0
02.04. 23:00,0
03.04. 00:00,0
03.04. 01:00,0
03.04. 02:00,0
03.04. 03:00,0
03.04. 04:00,0
03.04. 05:00,0
03.04. 06:00,6.8987
03.04. 07:00,73.403
03.04. 08:00,0
03.04. 09:00,55.005
03.04. 10:00,55.011
03.04. 11:00,32.237
03.04. 12:00,22.002
03.04. 13:00,22.003
03.04. 14:00,0
03.04. 15:00,0
03.04. 16:00,0
03.04. 17:00,0
03.04. 18:00,18.426
03.04. 19:00,73.387
03.04. 20:00,73.364
03.04. 21:00,54.737
03.04. 22:00,0
03.04. 23:00,0
04.04. 00:00,0
04.04. 01:00,0
04.04. 02:00,0
04.04. 03:00,0
04.04. 04:00,0
04.04. 05:00,53.005
04.04. 06:00,73.402
04.04. 07:00,104.199
04.04. 08:00,44.003
04.04. 09:00,77.009
04.04. 10:00,66.012
04.04. 11:00,10.236
04.04. 12:00,0
04.04. 13:00,0
04.04. 14:00,0
04.04. 15:00,0
04.04. 16:00,0
04.04. 17:00,0
04.04. 18:00,60.722
04.04. 19:00,73.367
04.04. 20:00,73.353
04.04. 21:00,9.0241
04.04. 22:00,7.693
04.04. 23:00,7.6044
05.04. 00:00,7.5598
05.04. 01:00,7.5563
05.04. 02:00,7.554
05.04. 03:00,7.5532
05.04. 04:00,7.5529
05.04. 05:00,7.5528
05.04. 06:00,49.5072
05.04. 07:00,73.403
05.04. 08:00,0
05.04. 09:00,55.005
05.04. 10:00,55.011
05.04. 11:00,32.237
05.04. 12:00,22.002
05.04. 13:00,22.003
05.04. 14:00,0
